Year,Annual Average CPI(-U),Annual Percent Change,index,title,genre,budget,revenue,release_date,runtime,director,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore,release_year,Poster_URL
1999,166.6,0.022,957,Three Kings,Action,75000000,108000000,9/27/1999,114,David O. Russell,3,0,31,82,16,10,252,8.8,1999,https://image.tmdb.org/t/p/w500/fClJQW8xn8wHOFqoA4jUn0PZh1f.jpg
1981,90.9,0.103,2350,Time Bandits,Family,5000000,42365581,7/13/1981,116,Terry Gilliam,3,0,15,79,3,0,8,7.5,1981,https://image.tmdb.org/t/p/w500/4VZtpwdhHQSa4LUkvujyGAHb1hG.jpg
1997,160.5,0.023,25,Titanic,Drama,200000000,1845034188,11/18/1997,194,James Cameron,6,3,26,75,74,82,1074,8.5,1997,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
1995,152.4,0.028,1902,To Die For,Fantasy,20000000,21284514,5/20/1995,106,Gus Van Sant,2,0,21,86,8,5,96,8.7,1995,https://image.tmdb.org/t/p/w500/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg
2012,229.6,0.021,1816,To Rome with Love,Romance,17000000,73244881,4/20/2012,111,Woody Allen,17,4,17,54,54,8,53,6.2,2012,https://image.tmdb.org/t/p/w500/qxFFJXEAZWtsfTiRgjOfZg85OMV.jpg
1995,152.4,0.028,1402,Toy Story,Animation,30000000,373554033,10/30/1995,81,John Lasseter,0,0,26,95,37,22,1083,9,1995,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
1999,166.6,0.022,338,Toy Story 2,Animation,90000000,497366869,10/30/1999,92,John Lasseter,2,0,32,88,38,10,698,8.8,1999,https://image.tmdb.org/t/p/w500/4rbcp3ng8n1MKHjpeqW0L7Fnpzz.jpg
1996,156.9,0.029,2929,Trainspotting,Drama,4000000,16491080,2/23/1996,93,Danny Boyle,2,0,26,83,25,14,488,8.7,1996,https://image.tmdb.org/t/p/w500/fCNd4D6I6n1xZKUbZI6Hco28EQ0.jpg
2013,233,0.015,2120,Trance,Thriller,20000000,24261569,3/27/2013,101,Danny Boyle,12,2,23,61,54,16,413,8.8,2013,https://image.tmdb.org/t/p/w500/3MVYuyVknNA9yC0Gy6z3zDAiWfX.jpg
2007,207.3,0.029,110,Transformers,Adventure,150000000,709709780,6/27/2007,144,Michael Bay,7,2,26,61,254,212,873,6.9,2007,https://image.tmdb.org/t/p/w500/1P7w3AImoEOWJX7nn3fdaKDfEQA.jpg
